cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,tar,met,age,sex,obese,,,,tar,met,age,sex,obese,,age(0/1),sex(0/1)
4010300,40,10,20,30,ot1,no,older,any,any,0,4010300,84,1,0,3,0,0,,1,0
4010301,40,10,20,30,ot1,no,older,any,with,0,4010301,85,1,0,3,0,1,,1,0
4010310,40,10,20,30,ot1,no,older,female,any,0,4010310,86,1,0,3,1,0,,1,1
4010320,40,10,20,30,ot1,no,older,male,any,0,4010320,86,1,0,3,2,0,,1,1
4010311,40,10,20,30,ot1,no,older,female,with,0,4010311,87,1,0,3,1,1,,1,1
4010321,40,10,20,30,ot1,no,older,male,with,0,4010321,87,1,0,3,2,1,,1,1
4020000,40,10,20,30,ot2,no,any,any,any,0,4020000,#NUM!,2,0,0,0,0,,0,0
4020001,40,10,20,30,ot2,no,any,any,with,0,4020001,#NUM!,2,0,0,0,1,,0,0
4020010,40,10,20,30,ot2,no,any,female,any,0,4020010,#NUM!,2,0,0,1,0,,0,1
4020020,40,10,20,30,ot2,no,any,male,any,0,4020020,#NUM!,2,0,0,2,0,,0,1
4020011,40,10,20,30,ot2,no,any,female,with,0,4020011,#NUM!,2,0,0,1,1,,0,1
4020021,40,10,20,30,ot2,no,any,male,with,0,4020021,#NUM!,2,0,0,2,1,,0,1
4020100,40,10,20,30,ot2,no,younger,any,any,0,4020100,#NUM!,2,0,1,0,0,,1,0
4020101,40,10,20,30,ot2,no,younger,any,with,0,4020101,#NUM!,2,0,1,0,1,,1,0
4020110,40,10,20,30,ot2,no,younger,female,any,0,4020110,#NUM!,2,0,1,1,0,,1,1
4020120,40,10,20,30,ot2,no,younger,male,any,0,4020120,#NUM!,2,0,1,2,0,,1,1
4020111,40,10,20,30,ot2,no,younger,female,with,0,4020111,#NUM!,2,0,1,1,1,,1,1
4020121,40,10,20,30,ot2,no,younger,male,with,0,4020121,#NUM!,2,0,1,2,1,,1,1
4020300,40,10,20,30,ot2,no,older,any,any,0,4020300,#NUM!,2,0,3,0,0,,1,0
4020301,40,10,20,30,ot2,no,older,any,with,0,4020301,#NUM!,2,0,3,0,1,,1,0
4020310,40,10,20,30,ot2,no,older,female,any,0,4020310,#NUM!,2,0,3,1,0,,1,1
